"export-plot data (NetLogo 5.2.1)"
"Wolf Sheep Predation.nlogo"
"11/15/2015 19:39:54:468 -0500"

"MODEL SETTINGS"
"initial-number-sheep","sheep-reproduce","grass?","wolf-reproduce","initial-number-wolves","sheep-gain-from-food","grass-regrowth-time","show-energy?","wolf-gain-from-food"
"100","4","false","5","50","4","20","false","20"

"""populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","776","0","18400","true","""sheep""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""sheep""","true","0","1","105","694"
"""wolves""","true","0","1","15","694"
"""grass / 4""","true","0","1","55","0"

"""sheep""",,,,"""wolves""",,,,"""grass / 4"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","100","105","true","0","50","15","true",,,,
"1","106","105","true","1","50","15","true",,,,
"2","113","105","true","2","52","15","true",,,,
"3","117","105","true","3","53","15","true",,,,
"4","122","105","true","4","55","15","true",,,,
"5","130","105","true","5","53","15","true",,,,
"6","134","105","true","6","58","15","true",,,,
"7","137","105","true","7","57","15","true",,,,
"8","141","105","true","8","56","15","true",,,,
"9","147","105","true","9","53","15","true",,,,
"10","148","105","true","10","54","15","true",,,,
"11","149","105","true","11","52","15","true",,,,
"12","150","105","true","12","54","15","true",,,,
"13","154","105","true","13","53","15","true",,,,
"14","162","105","true","14","53","15","true",,,,
"15","161","105","true","15","58","15","true",,,,
"16","164","105","true","16","59","15","true",,,,
"17","164","105","true","17","61","15","true",,,,
"18","168","105","true","18","63","15","true",,,,
"19","171","105","true","19","59","15","true",,,,
"20","176","105","true","20","64","15","true",,,,
"21","176","105","true","21","65","15","true",,,,
"22","180","105","true","22","62","15","true",,,,
"23","179","105","true","23","63","15","true",,,,
"24","184","105","true","24","63","15","true",,,,
"25","189","105","true","25","66","15","true",,,,
"26","197","105","true","26","64","15","true",,,,
"27","197","105","true","27","65","15","true",,,,
"28","199","105","true","28","66","15","true",,,,
"29","201","105","true","29","65","15","true",,,,
"30","201","105","true","30","62","15","true",,,,
"31","206","105","true","31","61","15","true",,,,
"32","207","105","true","32","63","15","true",,,,
"33","212","105","true","33","66","15","true",,,,
"34","222","105","true","34","65","15","true",,,,
"35","228","105","true","35","68","15","true",,,,
"36","234","105","true","36","67","15","true",,,,
"37","234","105","true","37","69","15","true",,,,
"38","234","105","true","38","72","15","true",,,,
"39","240","105","true","39","69","15","true",,,,
"40","245","105","true","40","69","15","true",,,,
"41","248","105","true","41","72","15","true",,,,
"42","247","105","true","42","73","15","true",,,,
"43","251","105","true","43","72","15","true",,,,
"44","253","105","true","44","73","15","true",,,,
"45","256","105","true","45","72","15","true",,,,
"46","257","105","true","46","78","15","true",,,,
"47","257","105","true","47","77","15","true",,,,
"48","258","105","true","48","82","15","true",,,,
"49","256","105","true","49","83","15","true",,,,
